,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
6527,182.5,84.19999695,88.4000015,986.3813,0
3063,185.89999,84.19999695,88.5999985,955.214,0
10345,188.7,85.542239,94.9000015,922.8794,0
4564,187.2,84.69999695,89.4000015,988.5992,0
1346,186.89999,84.5,89.1999969,1100.545,0
291,185.39999,87.90000153,72.8000031,1016.265,3
176,182.60001,59.69999695,89.4000015,1028.988,2
3425,182.60001,83.69999695,68.0,1008.21,3
10534,184.10001,84.5,88.9000015,1011.712,0
2471,196.7,85.30000305,89.5,1007.043,1
4183,186.8,82.80000305,86.9000015,1120.156,0
3522,181.60001,82.40000153,87.0,818.599,4
688,183.10001,85.80000305,90.9000015,992.1011,0
4548,186.10001,83.09999847,68.0999985,995.6031,3
5444,183.3,88.90000153,93.6999969,985.214,0
4443,201.2,83.80000305,88.5,1099.377,1
7887,185.60001,83.5,88.4000015,1009.377,0
5104,187.10001,84.09999847,69.0,1112.101,3
9511,186.2,86.30000305,91.3000031,1009.377,0
7976,185.7,83.90000153,88.8000031,1079.766,0
6311,185.3,84.69999695,89.0,1095.875,0
436,182.8,85.0,89.6999969,1000.156,0
11483,186.89999,87.5,92.5,1047.432,0
3197,185.8,83.5,68.3000031,1110.934,3
2088,187.0,59.5,89.8000031,1106.265,2
4043,186.3,82.69999695,87.5999985,787.4319,4
2206,180.89999,84.59999847,69.5999985,998.9883,3
5938,184.7,87.19999695,72.1999969,982.8794,3
11053,186.7,88.5,93.1999969,995.6031,0
2861,185.60001,83.19999695,87.9000015,1109.766,0
860,200.39999,86.59999847,91.4000015,995.6031,1
886,184.5,85.80000305,90.8000031,1002.49,0
500,184.8,83.19999695,88.0,1094.708,0
436,182.8,60.0,89.6999969,1000.156,2
3767,184.39999,83.09999847,88.3000031,855.486,4
3640,187.2,59.09999847,88.8000031,1073.93,2
7916,187.60001,83.90000153,88.6999969,1073.93,0
5440,184.3,85.542239,90.452079,1005.48,0
5217,183.2,61.59999847,91.5999985,975.9922,2
4700,203.10001,83.09999847,87.9000015,1080.934,1
614,186.89999,84.69999695,89.6999969,1102.879,0
2579,200.60001,84.59999847,89.0,1020.934,1
5419,185.0,82.19999695,86.5999985,882.101,4
7877,184.8,83.09999847,88.0,1007.043,0
9730,185.60001,88.80000305,94.1999969,1022.101,0
8752,184.5,84.69999695,90.0999985,964.4358,0
218,184.3,60.90000153,91.0,984.0467,2
6920,188.0,83.59999847,87.9000015,1018.599,0
3011,184.60001,85.30000305,90.4000015,1009.377,0
3849,184.39999,83.5,87.6999969,1025.486,0
7345,184.0,84.40000153,89.1999969,1018.599,0
171,182.8,84.59999847,89.3000031,1016.265,0
9944,186.0,86.90000153,91.9000015,990.9338,0
11425,183.2,85.69999695,90.5,971.3229,0
331,184.5,84.40000153,89.1999969,1030.156,0
2410,185.7,86.40000153,91.1999969,1106.265,0
2963,181.89999,84.40000153,89.0,1001.323,0
1890,196.3,84.19999695,89.0,986.3813,1
8030,185.8,85.40000153,90.0,1015.214,0
3256,182.8,82.80000305,87.4000015,1017.432,0
7286,184.0,85.09999847,90.3000031,967.821,0
6392,185.2,84.69999695,90.0,1009.377,0
9313,182.60001,82.59999847,87.1999969,1054.436,0
2057,184.5,87.80000305,92.9000015,818.599,4
3354,184.5,84.19999695,88.9000015,1004.825,0
1190,181.89999,84.30000305,89.1999969,980.5447,0
5668,187.5,83.40000153,88.0999985,1093.541,0
1037,184.8,89.5,93.1999969,748.2101,4
5170,204.3,84.0,88.5999985,1090.156,1
11200,185.60001,87.0,91.8000031,912.4903,0
6228,185.8,81.30000305,85.9000015,1099.377,0
9892,183.2,86.0,91.4000015,979.3774,0
3215,189.10001,59.09999847,89.3000031,1093.541,2
5943,198.8,87.09999847,92.3000031,981.712,1
5254,185.5,86.69999695,92.0999985,974.8249,0
10517,184.5,85.0,89.8000031,1016.265,0
1900,184.60001,84.30000305,89.0999985,980.5447,0
5766,184.0,85.19999695,70.1999969,994.4358,3
9592,188.0,83.80000305,88.8000031,1003.658,0
4119,185.3,82.59999847,87.0,1022.101,0
1671,181.5,84.90000153,89.5999985,988.5992,0
666,183.7,61.5,91.3000031,978.2101,2
5560,183.2,85.542239,90.452079,809.377,4
5456,185.60001,85.0,90.0,998.9883,0
2899,184.89999,83.59999847,88.5,1015.214,0
11500,188.89999,86.0,89.5,1063.658,0
10316,189.8,87.09999847,92.0,1075.097,0
4206,186.7,83.19999695,68.0999985,1115.486,3
1883,183.0,84.69999695,89.5999985,978.2101,0
3942,186.3,84.59999847,89.1999969,992.1011,0
5256,184.89999,86.69999695,92.0,775.9922,4
10046,186.0,85.69999695,90.6999969,1012.879,0
8328,184.10001,84.69999695,89.6999969,1019.767,0
8285,184.7,83.40000153,88.5,1070.545,0
2983,184.7,83.0,87.3000031,781.712,4
9408,184.60001,88.30000305,93.0,1010.545,0
8661,183.7,86.09999847,91.0,1033.658,0
80,201.10001,86.59999847,92.0999985,1028.988,1
2115,186.60001,84.0,68.9000015,1115.486,3
4721,185.5,84.90000153,70.8000031,996.6537,3
4024,185.7,83.30000305,67.9000015,985.214,3
63,201.60001,85.09999847,90.3000031,1030.156,1
5273,182.60001,61.30000305,91.1999969,966.7704,2
2729,181.2,85.5,90.6999969,979.3774,0
4189,186.2,82.80000305,87.1999969,1114.319,0
802,188.0,84.09999847,88.5,924.708,4
1428,183.10001,61.80000305,91.5999985,994.4358,2
